"Embora se faça confusão entre os conceitos, uma linguagem de script não é igual a uma linguagem de programação em todo o seu contexto, posto que se referem a propósitos específicos dentro do campo de aplicações que a Computação e a Informática abrangem.Particularmente, a diferença mais significativa entre linguagem de script e linguagem de programação é que:","as linguagens de script não requerem a etapa de compilação e são bastante interpretadas, diferentemente das linguagens de programação, que são todas compiladas.",,
"O shell é um programa que recebe, interpreta e executa os comandos de usuário, sendo apresentado ao usuário na tela na forma de um prompt de comandos, representada por um interpretador que espera do usuário a digitação de comandos.No que toca ainda ao shell, é ele que literalmente interpreta os comandos que são inseridos pelos usuários para dispor de acesso a outros aplicativos nativos, ou mesmo inseridos nele diretamente.A partir dessas informações e do conteúdo estudado a respeito da caracterização de linguagens de script, podemos afirmar que a inserção de aplicativos no shell se dá por meio de:","Chamadas de sistema, por serem estas os mecanismos usuais para a conversação do shell com aplicativos.",,
"No âmbito de programação aplicada, o conceito de script é relevante para o desenvolvimento de determinadas tarefas, ao permitir que o programador possa contar com ferramentas adicionais que se somam ao poder de resolução e processamento dos algoritmos. Isto é bastante útil, por exemplo, quando se deseja implementar automatização de tarefas.Nesse contexto, especificamente, um script pode ser definido como:","um algoritmo designado a realizar uma dada tarefa, fazendo uso de comandos específicos da interface a ele oferecida e os arquivos que sejam executáveis dentro do sistema operacional que utiliza.",,
"As estruturas de repetição, também conhecidas como laços (loops), são utilizadas para executar, repetidamente, uma instrução ou bloco de instrução enquanto determinada condição estiver sendo satisfeita.No conjunto de laços de repetição existentes em programação, destaca-se um laço de repetição executado dentro do algoritmo que utiliza uma estrutura de controle denominada:","REPITA, cujo teste de condição verdadeira realizado no início do laço, antes da instrução ou bloco de instruções, pode ser executado uma ou muitas vezes.",,
"Em sistemas operacionais abertos, o termo “shell” é usualmente empregado para definir os programas de sistemas que podem ser utilizados como meio de interação entre a interface de usuário para acessar serviços do kernel dentro do sistema operacional em questão.Nesse contexto de definição, sobre os arquivos de inicialização específicos do usuário, pode-se afirmar que:",armazenam configurações que se aplicam a um único usuário no sistema e normalmente estão localizados no diretório inicial do usuário como arquivos de ponto.,,
"Considere o trecho de comandos listado a seguir.Algoritmo CALCULA_TRIPLO NUM, TRIPLO: inteiroinicioLeia NUMERO TRIPLO  3 * NUMEscreva TRIPLO fimAnalisando o algoritmo apresentado, julgue as afirmações V para verdadeiras e F para falsas:I. NUM é uma variável que armazena algum valor do tipo inteiro. II. fim representa o término do algoritmo.III. É feito o uso de uma pseudolinguagem que consiste em usar comandos próximos do português para representar passos de um algoritmo.Agora, assinale a alternativa que apresenta a sequência correta:","V, V, V",,
"Sabemos que as linguagens de script não requerem a etapa de compilação e são bastante interpretadas. Considerando essa informação e o conteúdo estudado, analise as afirmativas a seguir e assinale V para a(s) verdadeira(s) e F para a(s) falsa(s).I. ( ) Um programa desenvolvido na linguagem C precisa ser compilado antes de ser executado.II. ( ) Programas interpretados são executados mais rapidamente do que programas compilados, porque são convertidos primeiramente em código de máquina nativo. III. ( ) JavaScript e PHP são exemplos de linguagens de script que não precisam ser compiladas. Agora, assinale a alternativa que apresenta a sequência correta:","V, F, V.",,
"As linguagens de programação possuem estruturas para que se criem soluções melhores. Dentro de tais estruturas, existem várias que atendem a diversos requisitos de fluxo, com o propósito de estabelecer um melhor controle sobre o caminho de processamento do código.Um exemplo de estrutura de DECISÃO, representada em pseudocódigo, é:",SE-ENTÃO-SENÃO,,
"O shell interpreta os comandos que são inseridos pelos usuários para dispor de acesso a outros aplicativos nativos, ou mesmo inseridos diretamente como chamadas de sistema. Além disso, os recursos providos pelo shell são indispensáveis ao manuseio de diversos arquivos simultaneamente, seja para realizar uma tarefa de forma repetida, seja para programar uma dada ação para determinada ocasião, entre outros recursos. Nesse contexto, são tipos de shell, EXCETO:",Shell JavaScript (shjava),,
"O shell Bourne, embora seja usado como um interpretador de comandos interativos, foi também planejado como uma linguagem de script e contém a maioria dos recursos que geralmente são considerados para produzir programas estruturados.Nesse contexto, é um dos objetivos de implementação do shell Bourne:",Permitir que scripts de shell sejam usados como filtros.,,
"Algoritmo é um conjunto limitado de regras e procedimentos devidamente ordenados que têm por meta a resolução sistemática de um determinado problema. São características dos algoritmos, EXCETO:",Só gerar dados de entrada.,,
"As linguagens de programação possuem estruturas para que se criem soluções melhores. Dentro de tais estruturas, existem várias que atendem a diversos requisitos de fluxo, com o propósito de estabelecer um melhor controle sobre o caminho de processamento do código.Um exemplo de estrutura de DECISÃO, representada em pseudocódigo, é:",SE-ENTÃO-SENÃO,,
"Em um shell, o arquivo /etc/profile armazena configurações de ambiente em todo o sistema e programas de inicialização para que seja configurada a sessão de login. Assim, todas as configurações que se deseje aplicar a todos os ambientes de usuários do sistema devem ser adicionadas neste arquivo.Sobre tal afirmativa e levando em consideração o conteúdo estudado na unidade, pode-se dizer que:","O arquivo /etc/profile carrega todos os ambientes de usuários irrestritamente, posto que tal arquivo concentra as configurações do ambiente shell, lido apenas em suas seções interativas.",,
"Considere o trecho de comandos listado a seguir.Algoritmo CALCULA_TRIPLO NUM, TRIPLO: inteiroinicioLeia NUMERO TRIPLO  3 * NUMEscreva TRIPLO fimAnalisando o algoritmo apresentado, julgue as afirmações V para verdadeiras e F para falsas:I. NUM é uma variável que armazena algum valor do tipo inteiro. II. fim representa o término do algoritmo.III. É feito o uso de uma pseudolinguagem que consiste em usar comandos próximos do português para representar passos de um algoritmo.Agora, assinale a alternativa que apresenta a sequência correta:","V, V, V",,
"Quando o Shell é invocado de forma interativa com login usando /bin/login, ele lê o seguinte diretório:",/etc/profile,,
"Um script de shell é um arquivo que contém um ou mais comandos. Os scripts de shell fornecem um modo fácil de executar comandos rotineiros, sequências extensas ou complexas de comandos e tarefas rotineiras, de modo que quando se digita o nome de um arquivo de script de shell, o sistema executa a sequência de comandos existente no arquivo.Sobre as distribuições de shell script, uma delas viabilizou o uso de matrizes associativas e operações aritméticas de ponto flutuante incorporadas. Estamos falando do:",Shell Korn,,
"No âmbito de programação aplicada, o conceito de script é relevante para o desenvolvimento de determinadas tarefas, ao permitir que o programador possa contar com ferramentas adicionais que se somam ao poder de resolução e processamento dos algoritmos. Isto é bastante útil, por exemplo, quando se deseja implementar automatização de tarefas.Nesse contexto, especificamente, um script pode ser definido como:","um algoritmo designado a realizar uma dada tarefa, fazendo uso de comandos específicos da interface a ele oferecida e os arquivos que sejam executáveis dentro do sistema operacional que utiliza.",,
"Quando o shell é invocado, há certos arquivos de inicialização que o ajudam a configurar um ambiente para o próprio shell e o usuário do sistema, que é predefinido (e personalizado) com funções, variáveis, aliases e assim por diante. São exemplos de arquivos de inicialização específico do usuário, EXCETO:",/etc/bashrc,,
"Em sistemas operacionais abertos, o termo “shell” é usualmente empregado para definir os programas de sistemas que podem ser utilizados como meio de interação entre a interface de usuário para acessar serviços do kernel dentro do sistema operacional em questão.Nesse contexto de definição, sobre os arquivos de inicialização específicos do usuário, pode-se afirmar que:",armazenam configurações que se aplicam a um único usuário no sistema e normalmente estão localizados no diretório inicial do usuário como arquivos de ponto.,,
"As estruturas de repetição, também conhecidas como laços (loops), são utilizadas para executar, repetidamente, uma instrução ou bloco de instrução enquanto determinada condição estiver sendo satisfeita.No conjunto de laços de repetição existentes em programação, destaca-se um laço de repetição executado dentro do algoritmo que utiliza uma estrutura de controle denominada:","REPITA, cujo teste de condição verdadeira realizado no início do laço, antes da instrução ou bloco de instruções, pode ser executado uma ou muitas vezes.",,
"O shell interpreta os comandos que são inseridos pelos usuários para dispor de acesso a outros aplicativos nativos, ou mesmo inseridos diretamente como chamadas de sistema. Além disso, os recursos providos pelo shell são indispensáveis ao manuseio de diversos arquivos simultaneamente, seja para realizar uma tarefa de forma repetida, seja para programar uma dada ação para determinada ocasião, entre outros recursos. Nesse contexto, são tipos de shell, EXCETO:",Shell JavaScript (shjava),,
"Quando o Shell é invocado de forma interativa com login usando /bin/login, ele lê o seguinte diretório:",/etc/profile,,
"Embora se faça confusão entre os conceitos, uma linguagem de script não é igual a uma linguagem de programação em todo o seu contexto, posto que se referem a propósitos específicos dentro do campo de aplicações que a Computação e a Informática abrangem.Particularmente, a diferença mais significativa entre linguagem de script e linguagem de programação é que:","as linguagens de script não requerem a etapa de compilação e são bastante interpretadas, diferentemente das linguagens de programação, que são todas compiladas.",,
"Shell script é uma linguagem de script com comandos do próprio SO que são executados em uma determinada sequência para uma determinada finalidade. Nesse contexto, um usuário deseja criar, no terminal, um arquivo que possa ser editado para que se torne o primeiro shell script a ser criado, fazendo uso de um comando específico, ao mesmo tempo em que precisa viabilizar a execução do shell script criado, atribuir a ele o direito de execução.Os comandos de que o usuário deve lançar mão para realizar as duas tarefas supracitadas são:",touch shell1.sh e chmod +x shell1.sh,,
"A maneira como os programas de usuários interagem com o kernel de um sistema operacional é descrita por meio de chamadas do sistema. Na prática, é preciso interagir com o kernel para realizar quase toda coisa que seja interessante ao usuário, como impressão de saída, leitura de entrada, leitura de arquivos e assim por diante.Considere em um ambiente desse tipo de interação o shell script abaixo, gravado em um arquivo executável.#!/bin/bashcd /tmpfind . -type f -atime +60 -printConsiderando essas informações e o conteúdo estudado, podemos afirmar que o efeito da sua execução no prompt de comandos do Linux pelo administrador do sistema é:","imprimir, no terminal, os nomes dos arquivos encontrados a partir do diretório /tmp que tenham sido acessados há mais de 60 dias.",,
"A utilização de interpretadores de comandos em sistemas operacionais abertos permite que sejam criados códigos ou scripts que facilitem muito a vida do programador, economizando tempo, pois eles permitem automatizar tarefas de rotina e também tornar mais simples ações como abrir programas, esvaziar diretórios temporários e lixeira, entre outras tarefas.Sabendo que sistemas operacionais Linux são sistemas abertos, é possível criar neles scripts para automatizar tarefas rotineiras. Considerando essas informações e o conteúdo estudado, podemos afirmar que a extensão de arquivo utilizada para identificar arquivos utilizados em Shell Script é:",.sh,,
"Processos em sistemas abertos, habitualmente possuem três dispositivos de I/O padronizados: saída padrão, entrada padrão e saída de erros padrão. O SO permite que esses dispositivos sejam definidos no momento da execução, podendo ser o console, um pipe, a impressora, um circuito virtual de rede conectando duas máquinas, uma linha física serial ou outras tarefas para as quais haja suporte no sistema.Os recursos de redirecionamento de E/S, que são úteis para redefinir entradas e saídas padrão em outros descritores de arquivos definidos pelo usuário, são padronizados no shell como:","stdin, stdout e stderr",,
"Um script em Linux contém em si um algoritmo projetado para realizar uma determinada tarefa, utilizando, para isso, comandos específicos do bash e outros comandos executáveis do sistema operacional.Nessa situação, considerando essas informações e o conteúdo estudado, analise o conteúdo do Shell Script “num.sh” apresentado a seguir.#!/bin/bashecho -n 1 >&2echo -n 2 >&1echo -n 3 1>&2echo -n 4 2>&1echo -n 5Se no terminal de comando do sistema operacional Linux for executado o seguinte comando de shell script: “./num.sh >/dev/null”será exibida na tela a seguinte mensagem:",13.,,
"O ambiente shell de interação do usuário com um sistema operacional aberto possibilita o uso de comandos de shell e operadores, via prompt – meio mais funcional, em boa parte dos casos de tarefas rápidas, que o uso, por exemplo, de uma interface gráfica que, embora mais transparente, seja menos intuitiva.Por exemplo, considerando as informações apresentadas e o conteúdo estudado, é correto afirmar que a execução do comando ls >> lista tem como resultado",o redirecionamento da listagem realizada pelo comando ls para o arquivo lista.,,
"O Linux permite que o sistema seja inicializado tanto em modo texto, usando-se um shell orientado com um interpretador de comandos, como em um sistema de janelas, utilizando-se um shell gráfico.Sobre o modo como o shell é orientado para alimentar o interpretador, é observada:",a orientação a caracteres.,,
"Um shell script permite encadear comandos para solucionar tarefas mais complexas, como automatizar backups, redimensionar um lote de fotografias, limpar erros de um arquivo de texto etc. No entanto, tais comandos não são apenas uma simples sequência de comandos e podem usar características comuns às linguagens de programação, como condições (if-then-else) e até loops (for, repeat).Considerando essas informações e o conteúdo estudado sobre o desenvolvimento de aplicações básica com scripts, pode-se afirmar que:","um arquivo shell script pode ser usado quando a sequência de comandos que se necessita repetir com frequência pode ser colocada em um arquivo que, executado, dispara os comandos da sequência, na ordem dada no programa.",,
"Para se realizar operações de entrada e saída em arquivos no sistema operacional Linux, ele fornece uma chamada do sistema que abre esses arquivos, retornando à aplicação do usuário um número inteiro associado aos arquivos individualmente. Se, para o usuário, há nomes de arquivos, para os programas há números inteiros que os representam, números esses que são chamados descritores.Alguns descritores se prestam a manipular especificamente arquivos, sendo informados ao usuário na forma de mnemônicos. São exemplos de descritores de criação de arquivos:",open(), socket(), socket()
"O shell permite que vários comandos simples sejam combinados, formando assim um comando mais complexo. Através do pipe (operador |), o shell conecta a saída padrão de um comando à entrada padrão de outro.Considerando essas informações e o conteúdo estudado, podemos afirmar que o seguinte comando apresenta somente os arquivos do diretório atual que contêm “txt”, de forma ordenada:",ls | sort | grep txt,,
"Processos em sistemas abertos, habitualmente possuem três dispositivos de I/O padronizados: saída padrão, entrada padrão e saída de erros padrão. O SO permite que esses dispositivos sejam definidos no momento da execução, podendo ser o console, um pipe, a impressora, um circuito virtual de rede conectando duas máquinas, uma linha física serial ou outras tarefas para as quais haja suporte no sistema.Os recursos de redirecionamento de E/S, que são úteis para redefinir entradas e saídas padrão em outros descritores de arquivos definidos pelo usuário, são padronizados no shell como:","stdin, stdout e stderr",,
"Shell script é uma linguagem de script com comandos do próprio SO que são executados em uma determinada sequência para uma determinada finalidade. Nesse contexto, um usuário deseja criar, no terminal, um arquivo que possa ser editado para que se torne o primeiro shell script a ser criado, fazendo uso de um comando específico, ao mesmo tempo em que precisa viabilizar a execução do shell script criado, atribuir a ele o direito de execução.Os comandos de que o usuário deve lançar mão para realizar as duas tarefas supracitadas são:",touch shell1.sh e chmod +x shell1.sh,,
"Na linha de comandos de um ambiente shell, em um sistema operacional aberto, um usuário autorizado para leitura e escrita de dados digitou com sucesso o seguinte comando:lp meutexto.txt &Na construção da sintaxe do comando utilizado, o sinal & indica que o comando deve ser executado:",em segundo plano.,,
"O duto é uma das maneiras que o Linux pode utilizar para comunicação entre processos. De uma maneira simples, podemos dizer que o duto é o encadeamento de processos.Em programação shell, considerando essas informações e o conteúdo estudado, podemos afirmar que os dutos são considerados:",elos de ligação entre a saída padrão de um programa e a entrada padrão de outro programa.,,
"No BASH existe um comando simples e útil que exibe os 1000 últimos comandos (quantidade que pode ser modificada no arquivo /etc/profile, alterando-se o valor da variável HISTSIZE). Esses comandos são armazenados no arquivo .bash_history, que fica oculto dentro do diretório /home de cada usuário, ou seja, cada usuário tem sua lista de últimos comandos digitados.Um usuário Linux deseja verificar os últimos comandos executados, dentro da sua sessão de shell bash. Para isso, ele pode utilizar o comando nativo",history,,
"A maneira como os programas de usuários interagem com o kernel de um sistema operacional é descrita por meio de chamadas do sistema. Na prática, é preciso interagir com o kernel para realizar quase toda coisa que seja interessante ao usuário, como impressão de saída, leitura de entrada, leitura de arquivos e assim por diante.Considere em um ambiente desse tipo de interação o shell script abaixo, gravado em um arquivo executável.#!/bin/bashcd /tmpfind . -type f -atime +60 -printConsiderando essas informações e o conteúdo estudado, podemos afirmar que o efeito da sua execução no prompt de comandos do Linux pelo administrador do sistema é:","imprimir, no terminal, os nomes dos arquivos encontrados a partir do diretório /tmp que tenham sido acessados há mais de 60 dias.",,
"O ambiente shell de interação do usuário com um sistema operacional aberto possibilita o uso de comandos de shell e operadores, via prompt – meio mais funcional, em boa parte dos casos de tarefas rápidas, que o uso, por exemplo, de uma interface gráfica que, embora mais transparente, seja menos intuitiva.Por exemplo, considerando as informações apresentadas e o conteúdo estudado, é correto afirmar que a execução do comando ls >> lista tem como resultado",o redirecionamento da listagem realizada pelo comando ls para o arquivo lista.,,
"Um shell script permite encadear comandos para solucionar tarefas mais complexas, como automatizar backups, redimensionar um lote de fotografias, limpar erros de um arquivo de texto etc. No entanto, tais comandos não são apenas uma simples sequência de comandos e podem usar características comuns às linguagens de programação, como condições (if-then-else) e até loops (for, repeat).Considerando essas informações e o conteúdo estudado sobre o desenvolvimento de aplicações básica com scripts, pode-se afirmar que:","um arquivo shell script pode ser usado quando a sequência de comandos que se necessita repetir com frequência pode ser colocada em um arquivo que, executado, dispara os comandos da sequência, na ordem dada no programa.",,
"O shell é ferramenta poderosa no que se refere à possibilidade de trazer ao usuário de um sistema operacional aberto a funcionalidade de acessar diretamente elementos de software como se fossem dispositivos físicos de hardware pelo uso de comandos mnemônicos específicos e de fácil utilização.Sobre a execução de comandos de manipulação e acesso a diretórios e arquivos em prompt de shell, a opção que relaciona corretamente o comando e sua função é:",copy – copia arquivos e diretórios.,,
"No BASH existe um comando simples e útil que exibe os 1000 últimos comandos (quantidade que pode ser modificada no arquivo /etc/profile, alterando-se o valor da variável HISTSIZE). Esses comandos são armazenados no arquivo .bash_history, que fica oculto dentro do diretório /home de cada usuário, ou seja, cada usuário tem sua lista de últimos comandos digitados.Um usuário Linux deseja verificar os últimos comandos executados, dentro da sua sessão de shell bash. Para isso, ele pode utilizar o comando nativo",history,,
"Na implementação tradicional do Unix, descritores de arquivos indexam uma tabela de descritores por processo, mantida pelo kernel. Essa tabela, por sua vez, indexa uma tabela do sistema aberta por todos os processos.Considerando a nomenclatura formal utilizada na descrição de termos do sistema operacional Linux, essa tabela é chamada:",Tabela de arquivos.,,
"Um script em Linux contém em si um algoritmo projetado para realizar uma determinada tarefa, utilizando, para isso, comandos específicos do bash e outros comandos executáveis do sistema operacional.Nessa situação, considerando essas informações e o conteúdo estudado, analise o conteúdo do Shell Script “num.sh” apresentado a seguir.#!/bin/bashecho -n 1 >&2echo -n 2 >&1echo -n 3 1>&2echo -n 4 2>&1echo -n 5Se no terminal de comando do sistema operacional Linux for executado o seguinte comando de shell script: “./num.sh >/dev/null”será exibida na tela a seguinte mensagem:",13.,,
"O Linux permite que o sistema seja inicializado tanto em modo texto, usando-se um shell orientado com um interpretador de comandos, como em um sistema de janelas, utilizando-se um shell gráfico.Sobre o modo como o shell é orientado para alimentar o interpretador, é observada:",a orientação a caracteres.,,
"O shell permite que vários comandos simples sejam combinados, formando assim um comando mais complexo. Através do pipe (operador |), o shell conecta a saída padrão de um comando à entrada padrão de outro.Considerando essas informações e o conteúdo estudado, podemos afirmar que o seguinte comando apresenta somente os arquivos do diretório atual que contêm “txt”, de forma ordenada:",ls | sort | grep txt,,
"O shell é ferramenta poderosa no que se refere à possibilidade de trazer ao usuário de um sistema operacional aberto a funcionalidade de acessar diretamente elementos de software como se fossem dispositivos físicos de hardware pelo uso de comandos mnemônicos específicos e de fácil utilização.Sobre a execução de comandos de manipulação e acesso a diretórios e arquivos em prompt de shell, a opção que relaciona corretamente o comando e sua função é:",copy – copia arquivos e diretórios.,,
"Na implementação tradicional do Unix, descritores de arquivos indexam uma tabela de descritores por processo, mantida pelo kernel. Essa tabela, por sua vez, indexa uma tabela do sistema aberta por todos os processos.Considerando a nomenclatura formal utilizada na descrição de termos do sistema operacional Linux, essa tabela é chamada:",Tabela de arquivos.,,
"A utilização de interpretadores de comandos em sistemas operacionais abertos permite que sejam criados códigos ou scripts que facilitem muito a vida do programador, economizando tempo, pois eles permitem automatizar tarefas de rotina e também tornar mais simples ações como abrir programas, esvaziar diretórios temporários e lixeira, entre outras tarefas.Sabendo que sistemas operacionais Linux são sistemas abertos, é possível criar neles scripts para automatizar tarefas rotineiras. Considerando essas informações e o conteúdo estudado, podemos afirmar que a extensão de arquivo utilizada para identificar arquivos utilizados em Shell Script é:",.sh,,
"Na linha de comandos de um ambiente shell, em um sistema operacional aberto, um usuário autorizado para leitura e escrita de dados digitou com sucesso o seguinte comando:lp meutexto.txt &Na construção da sintaxe do comando utilizado, o sinal & indica que o comando deve ser executado:",em segundo plano.,,
"Para se realizar operações de entrada e saída em arquivos no sistema operacional Linux, ele fornece uma chamada do sistema que abre esses arquivos, retornando à aplicação do usuário um número inteiro associado aos arquivos individualmente. Se, para o usuário, há nomes de arquivos, para os programas há números inteiros que os representam, números esses que são chamados descritores.Alguns descritores se prestam a manipular especificamente arquivos, sendo informados ao usuário na forma de mnemônicos. São exemplos de descritores de criação de arquivos:",open(), socket(), socket()
