Question,Correct Answer
"Leia o trecho a seguir:“Uma breve história da evolução das comunicações móveis no mundo é útil para apreciarmos o enorme impacto que o Rádio-Celular e os Serviços de Comunicação terão sobre todos nós no decorrer das próximas décadas. Isso também é útil para um iniciante no setor de rádio- celular entender o grande impacto que as agencias reguladoras do governo e os concorrentes na prestação destes serviços exercem na evolução de novos sistemas, serviços e tecnologias sem fio.”Fonte: RAPPAPORT, Theodore S. Comunicações Sem Fio: Princípios e Práticas. 2ª edição. São Paulo. Pearson Prentice Hall, 2009. Página 1. O trecho acima fala da evolução das comunicações móveis no mundo. Através das informações abordadas no texto e baseando-se no conteúdo estudado, é possível afirmar que a evolução da Comunicação sem Fio ocorre, dentre vários aspectos, por conta do:","melhoramento no desenvolvimento de circuitos digitais e radiofrequência, o uso de tecnologias e os métodos de comunicação digital."
"Leia o trecho a seguir:“A solução criada compartilha, de forma criptografada, informações de dispositivos móveis, como smartphones e tablet’s, usados em transações bancárias. Assim, se um celular de um usuário for roubado, por exemplo, basta comunicar ao banco e, por meio do blockchain, rapidamente a informação do roubo será espalhada para que as outras instituições tenham conhecimento do fato e o dispositivo não seja utilizado maliciosamente.”Fonte: FAUSTINO, Rafael. Febraban cria solução em Blockchain para verificar segurança de dispositivos móveis.  Disponível em: https://epocanegocios.globo.com/Tecnologia/noticia/2018/06/febraban-cria-solucao-em-blockchain-para-verificar-seguranca-de-dispositivos-moveis.html. Acesso em: 23 Set. 2019.O trecho acima traz algumas das soluções adotadas para oferecer mais segurança aos dados disponíveis nos dispositivos móveis. A partir dessas informações e do conteúdo estudado a respeito, é possível definir que o uso de um dispositivo móvel requer, dentre outros aspectos:",a instalação de um programa Antivírus e um Sistema Operacional Atualizado.
"“A forma de configurar o gerenciamento avançado dos dispositivos Android e iOS é diferente. Nos dispositivos Android, é necessário ativar o Gerenciamento de aplicativos Android e, nos iOS, é preciso configurar um Apple Push Certificate. Os usuários com dispositivos Android e iOS precisam instalar o aplicativo Device Policy ou um perfil para que você possa gerenciá-los. ”Fonte: GOOGLE. Configurar o Gerenciamento avançado de dispositivos móveis: Sobre o Gerenciamento avançado de dispositivos móveis Disponível em: https://support.google.com/a/answer/6328699?hl=pt-BR. . Acesso em: 23 Set. 2019.O trecho acima trata das formas distintas em que é realizado o gerenciamento dos dispositivos móveis. Assim, considerando as informações apresentadas e os conteúdos estudados, analise o conjunto de recursos às empresas oferecidos pelo MDM a seguir e associe-os com suas respectivas características.1. Configuração Centralizada dos Dispositivos2. Medidas de Segurança dos Aparelhos3. Criptografia 4. Limpeza e Bloqueio de Dispositivos( ) Atua contra as possíveis ameaças sistêmicas, como os malwares, ou algum aplicativo classificado como mal-intencionados;( ) São realizados remotamente, auxiliando em situações de perda ou roubo de aparelhos.( ) É realizada nos dados e eleva o nível de confidencialidade e privacidade destes recursos. ( ) Não leva em consideração possíveis diferenças entre os sistemas operacionais adotados. Agora, assinale a alternativa que apresenta a sequência correta:","2, 4, 3, 1"
"Leia o trecho a seguir:“Voltado para pequenos negócios, a ferramenta ZeroPaper gera gráficos e relatórios, indicando o que está consumindo mais recursos. Os dados ficam disponíveis em dispositivos móveis e na plataforma web. O Dropbox, por exemplo, permite salvar arquivos que podem ser visualizados em qualquer lugar. ” Fonte: O GLOBO. Dez aplicativos essenciais para micro e pequenos empresários. Disponível em: https://oglobo.globo.com/economia/pequenos-e-medios-negocios/dez-aplicativos-essenciais-para-micro-pequenos-empresarios-13989296. Acesso em: 23 Set.. 2019.O trecho acima trata de um dos mais importantes aplicativos disponíveis nas micro e pequenas empresas. Assim, considerando as informações apresentadas e os conteúdos estudados, podemos afirmar que os aplicativos para dispositivos móveis:",são direcionados para a solução de questões mais peculiares no ambiente corporativo.
"Leia o trecho a seguir: “O Android SDK é responsável pelo gerenciamento das plataformas disponíveis para o desenvolvimento dos aplicativos no Android. Com esta aplicação, você poderá realizar o download das plataformas, de acordo com a sua necessidade.”Fonte: PLOTZE, Rodrigo. Programação para Dispositivos Móveis. 1ª edição. SESES. Rio de Janeiro, 2017.Página 18. O trecho acima apresenta as características de uma das plataformas utilizadas para o desenvolvimento do Android. A partir dessas informações e do conteúdo estudado, após baixar o Android SDK é necessário verificar, dentre outros aspectos:",certificar de que a opção Start SDK Manager está devidamente marcada.
"Leia o trecho a seguir:“Uma breve história da evolução das comunicações móveis no mundo é útil para apreciarmos o enorme impacto que o Rádio-Celular e os Serviços de Comunicação terão sobre todos nós no decorrer das próximas décadas. Isso também é útil para um iniciante no setor de rádio- celular entender o grande impacto que as agencias reguladoras do governo e os concorrentes na prestação destes serviços exercem na evolução de novos sistemas, serviços e tecnologias sem fio.”Fonte: RAPPAPORT, Theodore S. Comunicações Sem Fio: Princípios e Práticas. 2ª edição. São Paulo. Pearson Prentice Hall, 2009. Página 1. O trecho acima fala da evolução das comunicações móveis no mundo. Através das informações abordadas no texto e baseando-se no conteúdo estudado, é possível afirmar que a evolução da Comunicação sem Fio ocorre, dentre vários aspectos, por conta do:","melhoramento no desenvolvimento de circuitos digitais e radiofrequência, o uso de tecnologias e os métodos de comunicação digital."
"Leia o trecho a seguir: “As versões anteriores do Android SDK eram um arquivo completo de ferramentas, documentação e classes. A partir da versão 1.6 do SDK, o arquivo contém somente ferramentas – essencialmente um conjunto de ferramentas SDK Management. ”Fonte: ABLESON, W. Frank. Android em Ação. Rio de Janeiro: Elsevier. 2012. p. 594.O trecho acima traz as características de um Android SDK. Considerando essas informações e o conteúdo estudado sobre as Alternativas de SDK para Desenvolvimento Multiplataforma, analise as afirmativas a seguir e assinale V para a(s) verdadeira(s) e F para a(s) falsa(s).I. ( ) O Corona é um SDK que serve de um instrumento de suporte ao iOS e ao Android, porém apresenta recursos limitados em relação à sua estrutura. II. ( ) Gideros Studio apresenta uma API de nível alto e fácil utilização em bibliotecas para simulação de física adaptada às colisões, controle de mapas, dentre outros aspectos.III. ( ) Havia uma ausência de supote do Gideros em relação ao suporte da biblioteca Luasockets, que é visto como um aspecto essencial para realizar a Comunicação de Rede.IV. O Moai apresenta várias bibliotecas integradas e serviços. Além disso, ele oferece um código-fonte aberto.","F, F, V, V."
"Leia o trecho abaixo:“O Gradle é um sistema open-source de automação de build que segue os mesmos conceitos de ferramentas como Ant e Marven, ambos em Apache Foundation. Entretanto, em vez de utilizar arquivos XML para definir o processo buil, o Gradle utiliza uma DSL. ”Fonte: GLAUBER, Nelson. Dominando o Android com Kotlin. São Paulo: Novatec Editora. 2019. 3ª Edição. p. 29. Através das informações abordadas no texto e baseando-se no conteúdo estudado sobre a criação do primeiro projeto, é possível afirmar que a principal função do Gradle é:",agrupar todas as etapas e recursos básicos para o desenvolvimento de um arquivo “apk”.
"Leia o trecho a seguir:“Kotlin é uma linguagem de programação desenvolvidas pela JetBrains, mems empresa que criou o Android Studio. Tem uma sintaxe muito simples e agradável, que é compilada para executar na JVM (Java Virtual Machine), portanto, proporciona interoperabilidade total com Java.”  Fonte: LECHETA. Ricardo R. Android Android essencial com Kotlin. São Paulo: Novatec. 2017. p. 35. A partir dessas informações e do conteúdo estudado sobre o uso do Kotlin como linguagem alternativa para o Android, é possível afirmar que a execução dos códigos Kotlin:","ocorre de maneira similar ao Java, onde um conversor automatizado transfere os dados do Java para Kotlin com a mesma velocidade."
"Leia o trecho a seguir:“Por padrão, o IDE a configura como ‘Android’, assim são exibidos apenas os arquivos mais importantes para o desenvolvimento do projeto. Para ver a estrutura real de arquivos, selecione a opção ‘Project’.”Fonte: SCHEFFER, Hudson. Desenvolvimento para Dispositivos Móveis. Londrina: Editora e Distribuidora Educacional. S.A. 2018. p. 256.A partir dessas informações e do conteúdo estudado a respeito da criação do primeiro projeto, podemos definir que a filtragem dos arquivos é:",uma lista suspensa que apresenta uma série de possibilidades que alteram a maneira de exibir os arquivos do projeto.
"Leia o trecho a seguir:“Em seu núcleo (core), o GWT é um compilador especial que pode transformar Java em JavaScript, com um Runtime mínimo. Permite que você escreva sobretudo código Java padrão, então o compile par JavaScript para rodar em um browser ou outro ambiente HTML.” Fonte: MARINACCI, Joshua. Construindo Aplicativos Móveis com Java. São Paulo: Novatec. p. 14. A partir dessas informações e do conteúdo estudado sobre os Arquivos de Código Java, pode-se concluir que uma classe:",estabelece um objeto e o seu funcionamento.
"Leia o trecho a seguir:“Float: Palavra-Chave Java usada para definir uma variável primitiva com um número de ponto flutuante de 4 bytes de armazenamento. A classe wrapper correspondente é o Float”.Fonte: FINEGAN, Edward, LIGUORI, Robert. OCA Java SE 8: Guia de Estudos para o Exame 1Z0-808. Porto Alegre: Bookman. 2018. p. 498. O trecho acima apresenta a definição do “float”. A partir dessas informações e do conteúdo estudado sobre Aprendendo Java, é possível afirmar que a palavra-chave “float” indica:","a apresentação de um valor decimal, entretanto as casas decimais se caracterizam pela “flutuação”."
"Leia o trecho abaixo: “O iOS foi desenvolvido pela Apple e sua execução é restrita aos hardwares construídos por ela. Portanto, somente os dispositivos da própria autora é que executam com sucesso o iOS. As versões mais atuais do iOS já possuem suporte para os novos hardwares embutidos nos mais recentes dispositivos móveis da Apple, entre eles, suporte para acelerômetro, giroscópio, câmera e GPS, entre outros recursos.” Fonte: MILANI, André. Programando para iPhone e iPad: aprenda a construir aplicativos para o iOS. São Paulo: Novatec Editora. 2012. p. 14.Esse trecho refere-se a uma das características do iOS. A partir dessas informações e do conteúdo estudado a respeito das Plataformas de Desenvolvimento Móvel, podemos afirmar que o iOS pode ser definido como:","um sistema de características distintas desenvolvido para o mercado de dispositivos móveis, que possibilita, dentre outros aspectos, a ativação individual nesse dispositivo."
"Leia o trecho a seguir:“Considerando Java como a linguagem orientada a objetos do Android, já podemos aceitar alguns pontos fundamentais: Em Java, sempre estamos escrevendo código dentro de uma classe. Uma classe chama e/ou usa outra classe /objeto, e assim o programa segue funcionando. ”Fonte: QUERINO FILHO, Luis Carlos. Desenvolvendo o Primeiro Aplicativo Android. São Paulo: NOVATEC. 2014. p. 133.  O trecho acima trata dos aspectos fundamentais da linguagem Java. A partir dessas informações e do conteúdo estudado sobre Criação de Aplicativos Android com a Linguagem Java, podemos considerar que uma linguagem de programação Java apresenta como aspectos:",Ser Orientada a Objetos e ser Tipada Estatisticamente.
"Leia o trecho abaixo:“O processo de instalação e gerenciamento do SDK é realizado no ambiente do Android Studio por meio do SDK Manager (Gerenciador do SDK). Em alguns momentos, será necessário acessar o SDK Manager para fazer download de novos componentes ou atualizar os componentes já instalados. ”Fonte: SCHEFFER, Hudson. Desenvolvimento para Dispositivos Móveis. Londrina: Editora e Distribuidora Educacional. S.A. 2018. p. 12.O trecho acima trata do gerenciamento do SDK. Considerando essas informações e o conteúdo estudado sobre as Configurações do sistema Android, é possível afirmar que SDK se caracteriza por:",ser um software que possibilita aos programadores desenvolver de forma nativa os aplicativos direcionados para a plataforma Android.
"Leia o trecho a seguir:“A linguagem JavaScript também tem suporte nativo para arrays, embora sua primeira versão tenha sido lançada sem esse suporte. Um array armazena valores sequencialmente, todos ao mesmo tempo.”Fonte: BRONER, Loiane. Estrutura de Dados e Algoritmos em JavaScript. São Paulo: Novate. 2017. p. 60.  Considerando as informações apresentadas e os conteúdos estudados sobre os Arquivos de Código Java, é possível afirmar que os arrays são:",estruturas usadas para ajustar várias partes dos dados ou variáveis.
"“Cada lançamento de versão do Android demanda meses até que o dispositivo móvel do usuário seja atualizado. Ao criar um projeto no Android Studio, o IDE fornece dados sobre a abrangência de usuários para cada versão disponível do sistema.”Fonte: SCHEFFER, Hudson. Desenvolvimento para Dispositivos Móveis. Londrina: Editora e Distribuidora Educacional. S.A. 2018. p. 15.Considerando essas informações e o conteúdo estudado sobre o Ambiente de Desenvolvimento Android Studio, podemos afirmar que os três componentes básicos para a instalação do Android Studio são, respectivamente:","JDK, IDE e SDK."
"Leia o trecho a seguir:“JavaScript foi criada na Netscape na fase inicial da Web e, tecnicamente, ‘JavaScript’ é marca registrada, licenciada pela Sun Microsystems (Agora Oracle), usada para descrever a implementação da linguagem pelo Netscape (Agora Mozilla). ” FONTE: David Flanagan. JavaScript: O Guia Definitivo. Porto Alegre: Bookman. 2013. p. 2.A partir dessas informações e do conteúdo estudado sobre Criação de Aplicativos Android com a Linguagem Java, é possível afirmar que o JavaScript e o Java se assemelham no que se refere aos:","métodos, variáveis, operadores e objetos."
"Leia o trecho a seguir: “Vale a pena citar que as versões mais recentes do iOS podem ou não ser compatíveis com os hardwares mais antigos dos dispositivos da Apple, servindo como um guia inicial para saber qual versão do sistema operacional é suportada por cada hardware.”Fonte: MILANI, André. Programando para iPhone e iPad: aprenda a construir aplicativos para o iOS. São Paulo: Novatec Editora. 2012. p. 16.O trecho acima trata das possíveis limitações aos quais a arquitetura iOS está sujeita. Assim, e considerando os conteúdos sobre as Plataformas de Desenvolvimento Móvel, analise as afirmativas a seguir sobre as outras restrições das aplicações de iOS:I. Quanto ao limite de processamento, cabe ao desenvolvedor conhecer os dispositivos e quais os seus recursos mais importantes para ser utilizados de maneira apropriada e uma aplicação executada com sucesso. II. O tempo de resposta normalmente ocorre quando uma aplicação apresentar variados tamanhos de tela. Esses valores são considerados ao longo do desenvolvimento de suas aplicações.  III. No que se refere ao tamanho de memória, pode-se afirmar que esses aspectos podem ser distintos entre os dispositivos, porem apresenta capacidade menor que os computadores de mesa, por exemplo.IV. A resolução gráfica ocorre quando os dispositivos levam alguns segundos para responder certas ocasiões, em que o iOS entende que a aplicação se encontra em estado de ausência de resposta e pode interromper a sua execução.Está correto apenas o que se afirma em:",I e III.
"Leia o trecho a seguir:“Float: Palavra-Chave Java usada para definir uma variável primitiva com um número de ponto flutuante de 4 bytes de armazenamento. A classe wrapper correspondente é o Float”.Fonte: FINEGAN, Edward, LIGUORI, Robert. OCA Java SE 8: Guia de Estudos para o Exame 1Z0-808. Porto Alegre: Bookman. 2018. p. 498. O trecho acima apresenta a definição do “float”. A partir dessas informações e do conteúdo estudado sobre Aprendendo Java, é possível afirmar que a palavra-chave “float” indica:","a apresentação de um valor decimal, entretanto as casas decimais se caracterizam pela “flutuação”."
"Leia o trecho a seguir:“A declaração de uma variável não define nem garante o seu valor. Variáveis não inicializadas podem conter qualquer valor e, sendo assim, seu uso acidental pode conduzir a resultados estranhos, levando-nos a procurar problemas em outras partes do programa.”Fonte: JANDL JUNIOR, Peter. Curso básico de Linguagem C. São Paulo: Novatec. 2019. p. 2. Considerando essas informações e o conteúdo estudado sobre o Aprendendo Java, analise as linhas de código que tratam de uma declaração de variável e associe-as com suas respectivas características: 1) String. 2) Mensagem.3) Sinal de igualdade (=).4) Sinal ponto e virgula (;) .(  ) Podem expor letras, sublinhados ou número, entretanto não podem se iniciar por meio de um número.(  ) Caracteriza-se por ser um operador de “atribuição”, ou seja, pode ser usado para estabelecer valores e variáveis. (  ) Caractere utilizado para encerra a linha de código, ou seja, uma declaração em Java. (  ) A palavra inicial observada quando se declara uma variável é em relação ao tipo de dados, que traz a informação de qual modelo de dados a variável irá armazenar.Agora, assinale a alternativa que apresenta a sequência correta:","2, 3, 1, 4."
"Leia o trecho a seguir:“Existem alguns recursos de aceleração de hardware que podem melhorar o desempenho do emulador. Antes de executar um aplicativo no emulador, você precisa criar um AVD (Android Virtual Device)”.Fonte: HARVEY Deitel, PAUL Deitel, ABBEY Deitel Android: Como programar. Porto Alegre: Bookman Editora, 2ª edição. 2015. p. 22.Considerando essas informações e o conteúdo estudado sobre as configurações do sistema Android, é possível afirmar que o AVD se caracteriza por:",possibilitar a simulação e realização dos testes nos aplicativos que serão desenvolvidos.
"Leia o trecho a seguir: “Se você instalou o Java 2 SDK, é provável que que tenha visto a execução do applet. O Java Plug-in pode ser instalado junto com o SDK e configurado para substituir o interpretador Java embutido na Internet Explore e em outros browsers.”Fonte: CADENHEAD. Rogers. Aprenda em 21 dias Java 2. Rio de Janeiro: Elsevier. 2005. p. 259.O trecho acima traz uma das funcionalidades do SDK. Com base nessas informações e no conteúdo estudado sobre as Alternativas de SDK para Desenvolvimento Multiplataforma, pode-se afirmar que os fatores principais que determinam a opção pelo SDK são:",plataformas móveis que terão suporte e as linguagens de programação utilizadas no desenvolvimento.
"Leia o trecho a seguir:“Durante o processo de compilação, o Kit de Desenvolvimento de Software (SDK) executa a ferramenta Android Asset Packaging Tool - aapt (‘Ferramenta de Empacotamento de Recursos do Android’). Essa ferramenta se encarrega de procurar por arquivos e referências de recursos e, como resultado, a Classe R é gerada automaticamente.”Fonte: SCHEFFER, Hudson. Desenvolvimento para Dispositivos Móveis. Londrina: Editora e Distribuidora Educacional. S.A. 2018. p. 52.Considerando essas informações e o conteúdo estudado sobre a utilização do SDK no Android, analise as afirmativas a seguir e assinale V para a(s) verdadeira(s) e F para a(s) falsa(s).I. (  ) A classe principal é denominada de “TcgfGroup”, cuja principal função é implementar a performance geral dos componentes apresentados na tela.II. ( ) A classe classificada como “TcgfDisplayObject” possibilita a união de componentes visando o criação de elementos visuais com maior nível de complexidade.III. ( ) O TcgfInputManager” tem a função de abstrair o processo de analise dos eventos que adotam o toque ou clique de mouse e passam a entendê-los como gesto. IV. ( ) As telas “sensíveis ao toque” estão disponíveis desde os anos 80, porém a tecnologia do hardware adotada na época limitava a interação com o usuário.Agora, assinale a alternativa que apresenta a sequência correta:","F, F, V, V."
"Leia o trecho abaixo:“É um kit de desenvolvimento que permite aos programadores desenvolverem aplicações em Java. A empresa Oracle Corporation o fornece para download, com suporte a diversos sistemas operacionais”. Fonte: SCHEFFER, Hudson. Desenvolvimento para Dispositivos Móveis. Londrina: Editora e Distribuidora Educacional. S.A. 2018. p. 11.Considerando essas informações e o conteúdo estudado sobre as configurações do sistema Android, é possível afirmar que o trecho acima se refere à definição de:",JDK.
"Leia o trecho a seguir:“O add-on Google API’s é uma extensão do Android SDK que disponibiliza essencialmente uma API externa para trabalhar com mapas até de outros componentes e serviços do Google que rodam no Android.”Fonte: MONTEIRO, João Bosco. GOOGLE ANDROID. Casa do Código. São Paulo. 2014. p. 119. O trecho acima trata um dos modelos de extensão SDK utilizado. Assim, considerando as informações apresentadas e os conteúdos estudados sobre Extensão do API no SDK, podemos afirmar que o Rapanui é uma API:","semelhante à API do Corona, por apresentar uma escrita do código simples."
"Leia o trecho a seguir:“Por padrão, o IDE a configura como ‘Android’, assim são exibidos apenas os arquivos mais importantes para o desenvolvimento do projeto. Para ver a estrutura real de arquivos, selecione a opção ‘Project’.”Fonte: SCHEFFER, Hudson. Desenvolvimento para Dispositivos Móveis. Londrina: Editora e Distribuidora Educacional. S.A. 2018. p. 256.A partir dessas informações e do conteúdo estudado a respeito da criação do primeiro projeto, podemos definir que a filtragem dos arquivos é:",uma lista suspensa que apresenta uma série de possibilidades que alteram a maneira de exibir os arquivos do projeto.
"Leia o trecho a seguir:“JavaScript foi criada na Netscape na fase inicial da Web e, tecnicamente, ‘JavaScript’ é marca registrada, licenciada pela Sun Microsystems (Agora Oracle), usada para descrever a implementação da linguagem pelo Netscape (Agora Mozilla). ” FONTE: David Flanagan. JavaScript: O Guia Definitivo. Porto Alegre: Bookman. 2013. p. 2.A partir dessas informações e do conteúdo estudado sobre Criação de Aplicativos Android com a Linguagem Java, é possível afirmar que o JavaScript e o Java se assemelham no que se refere aos:","métodos, variáveis, operadores e objetos."
"Leia o trecho a seguir:“A linguagem JavaScript também tem suporte nativo para arrays, embora sua primeira versão tenha sido lançada sem esse suporte. Um array armazena valores sequencialmente, todos ao mesmo tempo.”Fonte: BRONER, Loiane. Estrutura de Dados e Algoritmos em JavaScript. São Paulo: Novate. 2017. p. 60.  Considerando as informações apresentadas e os conteúdos estudados sobre os Arquivos de Código Java, é possível afirmar que os arrays são:",estruturas usadas para ajustar várias partes dos dados ou variáveis.
"Leia o trecho a seguir:“O add-on Google API’s é uma extensão do Android SDK que disponibiliza essencialmente uma API externa para trabalhar com mapas até de outros componentes e serviços do Google que rodam no Android.”Fonte: MONTEIRO, João Bosco. GOOGLE ANDROID. Casa do Código. São Paulo. 2014. p. 119. O trecho acima trata um dos modelos de extensão SDK utilizado. Assim, considerando as informações apresentadas e os conteúdos estudados sobre Extensão do API no SDK, podemos afirmar que o Rapanui é uma API:","semelhante à API do Corona, por apresentar uma escrita do código simples."
"Leia o trecho abaixo: “O iOS foi desenvolvido pela Apple e sua execução é restrita aos hardwares construídos por ela. Portanto, somente os dispositivos da própria autora é que executam com sucesso o iOS. As versões mais atuais do iOS já possuem suporte para os novos hardwares embutidos nos mais recentes dispositivos móveis da Apple, entre eles, suporte para acelerômetro, giroscópio, câmera e GPS, entre outros recursos.” Fonte: MILANI, André. Programando para iPhone e iPad: aprenda a construir aplicativos para o iOS. São Paulo: Novatec Editora. 2012. p. 14.Esse trecho refere-se a uma das características do iOS. A partir dessas informações e do conteúdo estudado a respeito das Plataformas de Desenvolvimento Móvel, podemos afirmar que o iOS pode ser definido como:","um sistema de características distintas desenvolvido para o mercado de dispositivos móveis, que possibilita, dentre outros aspectos, a ativação individual nesse dispositivo."
"Leia o trecho a seguir:“Existem alguns recursos de aceleração de hardware que podem melhorar o desempenho do emulador. Antes de executar um aplicativo no emulador, você precisa criar um AVD (Android Virtual Device)”.Fonte: HARVEY Deitel, PAUL Deitel, ABBEY Deitel Android: Como programar. Porto Alegre: Bookman Editora, 2ª edição. 2015. p. 22.Considerando essas informações e o conteúdo estudado sobre as configurações do sistema Android, é possível afirmar que o AVD se caracteriza por:",possibilitar a simulação e realização dos testes nos aplicativos que serão desenvolvidos.
"Leia o trecho a seguir: “O desenvolvimento do aplicativo se dará com o software Android Studio na linguagem de programação Kotlin, a qual vem mostrando ser tendência no cenário de programadores, buscando trazer uma nova tecnologia para dentro da Empresa Brasileira de Pesquisa Resumos Expandidos XIV Mostra de Estagiários e Bolsistas 65 Agropecuária (Embrapa). ”Fonte: OLIVEIRA, Emanuel de Souza. EVANGELISTA, Sílvio Roberto Medeiros. ROMANI, Luciana Alvim Santos. Aplicativo para consulta interativa e otimizada ao Zoneamento Agrícola de Risco Climático. Disponível em: https://www.alice.cnptia.embrapa.br/alice/bitstream/doc/1101342/1/Mostra20186367.pdf. Acesso em 01 Out. 2019. O trecho acima apresenta um dos benefícios do uso da linguagem Kotlin. A partir dessas informações e do conteúdo estudado sobre o uso do Kotlin como linguagem alternativa para o Android, é possível verificar que uma das principais vantagens oferecidas pelo Kotlin é/são a/as:",imutabilidade.
"Leia o trecho a seguir:“Em seu núcleo (core), o GWT é um compilador especial que pode transformar Java em JavaScript, com um Runtime mínimo. Permite que você escreva sobretudo código Java padrão, então o compile par JavaScript para rodar em um browser ou outro ambiente HTML.” Fonte: MARINACCI, Joshua. Construindo Aplicativos Móveis com Java. São Paulo: Novatec. p. 14. A partir dessas informações e do conteúdo estudado sobre os Arquivos de Código Java, pode-se concluir que uma classe:",estabelece um objeto e o seu funcionamento.
"Leia o trecho abaixo:“É um kit de desenvolvimento que permite aos programadores desenvolverem aplicações em Java. A empresa Oracle Corporation o fornece para download, com suporte a diversos sistemas operacionais”. Fonte: SCHEFFER, Hudson. Desenvolvimento para Dispositivos Móveis. Londrina: Editora e Distribuidora Educacional. S.A. 2018. p. 11.Considerando essas informações e o conteúdo estudado sobre as configurações do sistema Android, é possível afirmar que o trecho acima se refere à definição de:",JDK.
"“Cada lançamento de versão do Android demanda meses até que o dispositivo móvel do usuário seja atualizado. Ao criar um projeto no Android Studio, o IDE fornece dados sobre a abrangência de usuários para cada versão disponível do sistema.”Fonte: SCHEFFER, Hudson. Desenvolvimento para Dispositivos Móveis. Londrina: Editora e Distribuidora Educacional. S.A. 2018. p. 15.Considerando essas informações e o conteúdo estudado sobre o Ambiente de Desenvolvimento Android Studio, podemos afirmar que os três componentes básicos para a instalação do Android Studio são, respectivamente:","JDK, IDE e SDK."
"Leia o trecho a seguir: “Vale a pena citar que as versões mais recentes do iOS podem ou não ser compatíveis com os hardwares mais antigos dos dispositivos da Apple, servindo como um guia inicial para saber qual versão do sistema operacional é suportada por cada hardware.”Fonte: MILANI, André. Programando para iPhone e iPad: aprenda a construir aplicativos para o iOS. São Paulo: Novatec Editora. 2012. p. 16.O trecho acima trata das possíveis limitações aos quais a arquitetura iOS está sujeita. Assim, e considerando os conteúdos sobre as Plataformas de Desenvolvimento Móvel, analise as afirmativas a seguir sobre as outras restrições das aplicações de iOS:I. Quanto ao limite de processamento, cabe ao desenvolvedor conhecer os dispositivos e quais os seus recursos mais importantes para ser utilizados de maneira apropriada e uma aplicação executada com sucesso. II. O tempo de resposta normalmente ocorre quando uma aplicação apresentar variados tamanhos de tela. Esses valores são considerados ao longo do desenvolvimento de suas aplicações.  III. No que se refere ao tamanho de memória, pode-se afirmar que esses aspectos podem ser distintos entre os dispositivos, porem apresenta capacidade menor que os computadores de mesa, por exemplo.IV. A resolução gráfica ocorre quando os dispositivos levam alguns segundos para responder certas ocasiões, em que o iOS entende que a aplicação se encontra em estado de ausência de resposta e pode interromper a sua execução.Está correto apenas o que se afirma em:",I e III.
"Leia o trecho a seguir:“A declaração de uma variável não define nem garante o seu valor. Variáveis não inicializadas podem conter qualquer valor e, sendo assim, seu uso acidental pode conduzir a resultados estranhos, levando-nos a procurar problemas em outras partes do programa.”Fonte: JANDL JUNIOR, Peter. Curso básico de Linguagem C. São Paulo: Novatec. 2019. p. 2. Considerando essas informações e o conteúdo estudado sobre o Aprendendo Java, analise as linhas de código que tratam de uma declaração de variável e associe-as com suas respectivas características: 1) String. 2) Mensagem.3) Sinal de igualdade (=).4) Sinal ponto e virgula (;) .(  ) Podem expor letras, sublinhados ou número, entretanto não podem se iniciar por meio de um número.(  ) Caracteriza-se por ser um operador de “atribuição”, ou seja, pode ser usado para estabelecer valores e variáveis. (  ) Caractere utilizado para encerra a linha de código, ou seja, uma declaração em Java. (  ) A palavra inicial observada quando se declara uma variável é em relação ao tipo de dados, que traz a informação de qual modelo de dados a variável irá armazenar.Agora, assinale a alternativa que apresenta a sequência correta:","2, 3, 1, 4."
"Leia o trecho a seguir:“Considerando Java como a linguagem orientada a objetos do Android, já podemos aceitar alguns pontos fundamentais: Em Java, sempre estamos escrevendo código dentro de uma classe. Uma classe chama e/ou usa outra classe /objeto, e assim o programa segue funcionando. ”Fonte: QUERINO FILHO, Luis Carlos. Desenvolvendo o Primeiro Aplicativo Android. São Paulo: NOVATEC. 2014. p. 133.  O trecho acima trata dos aspectos fundamentais da linguagem Java. A partir dessas informações e do conteúdo estudado sobre Criação de Aplicativos Android com a Linguagem Java, podemos considerar que uma linguagem de programação Java apresenta como aspectos:",Ser Orientada a Objetos e ser Tipada Estatisticamente.
"Leia o trecho a seguir: “As versões anteriores do Android SDK eram um arquivo completo de ferramentas, documentação e classes. A partir da versão 1.6 do SDK, o arquivo contém somente ferramentas – essencialmente um conjunto de ferramentas SDK Management. ”Fonte: ABLESON, W. Frank. Android em Ação. Rio de Janeiro: Elsevier. 2012. p. 594.O trecho acima traz as características de um Android SDK. Considerando essas informações e o conteúdo estudado sobre as Alternativas de SDK para Desenvolvimento Multiplataforma, analise as afirmativas a seguir e assinale V para a(s) verdadeira(s) e F para a(s) falsa(s).I. ( ) O Corona é um SDK que serve de um instrumento de suporte ao iOS e ao Android, porém apresenta recursos limitados em relação à sua estrutura. II. ( ) Gideros Studio apresenta uma API de nível alto e fácil utilização em bibliotecas para simulação de física adaptada às colisões, controle de mapas, dentre outros aspectos.III. ( ) Havia uma ausência de supote do Gideros em relação ao suporte da biblioteca Luasockets, que é visto como um aspecto essencial para realizar a Comunicação de Rede.IV. O Moai apresenta várias bibliotecas integradas e serviços. Além disso, ele oferece um código-fonte aberto.","F, F, V, V."
